name,address,phone,email,contact_person,manager,type,status,interest,site,activity,comment,legal_name,legal_address,inn,kpp,payment_account,bank,corr_account,personal_account,bik,director,accountant,okato
Glance,"420111 г. Казань, ул. Баумана, 25",(843) 292-43-02,sales@glances.ru,Карамзин Михаил,Иванов Иван,Обзвон,Новый,Да,,авто,,"ООО ""Глэнс-Казань""","420111 г. Казань, ул. Баумана, 25",,,,,,,,,,
Magnit,ул. Московская д.54,123-4-567,partner@mail.ru,Константинов Петр,Administrator,Партнер,Важный,Да,,,,"ОАО ""Magnit LTD""",ул. Московская д.54,,,,,,,,,,
Maks,"420045 г. Казань, ул. Н. Ершова, 14/2","(843) 236-60-83, 236-62-55",ra-maks@kgts.ru,,Administrator,Обзвон,Отправить КП,Да,http://www.maks-reklama.ru,Наружная реклама,,"ООО ""Кабачок""","420045 г. Казань, ул. Н. Ершова, 14/2",1661991992,1661991843,5754745745745,Банк Казани,436456754745,,6576565865765,Максим Суханкин,Максим Суханкин,578433
Medel,"420126 г. Казань, ул. Адоратского, 17","(843) 521-26-73, 266-51-00",medel@bk.ru,Цибельман Моисей Платонович,Administrator,Обзвон,Новый,Нет,,,хотят сделать заказ,"ООО ""Медел""","420126 г. Казань, ул. Адоратского, 17",,,,,,,,,,
MSTL,"420111 г. Казань, ул. Ямашева, 36, офис 409","(843) 213-13-29, 523-60-47",info@mstl.ru,,Administrator,Обзвон,Новый,Да,www.mstl.ru,,,"ООО ""М-стиль""","420111 г. Казань, ул. Ямашева, 36, офис 409",,,,,,,,,,
Podiumluxe,"420111 г. Казань, ул.Московская, д.15",(843) 299-60-90,sveta@clientbase.ru,,,Обзвон,Отправить КП,Да,,,уже есть,"ООО ""Подиумлюкс РТ""","420111 г. Казань, ул.Московская, д.15",,,,,,,,,,
Rafes,ул. Завойского д.99,12-12-34,rafexmix@inbox.ru,,Головин Виктор,Клиент,Важный,Да,,продажи,,"ОАО ""Рафез""",ул. Завойского д.99,,,,,,,,,,
Агава,"420088 г. Казань, ул. 2-я Азинская, 7","(843) 291-06-11, 291-06-01",agava@mi.ru,,Иванов Иван,Обзвон,Отправить КП,Да,http://agava.mi.ru,,,"ООО ""Агава""","420088 г. Казань, ул. 2-я Азинская, 7",,,,,,,,,,
Акос,"420038 г. Казань, ул. Зорге, 88","(843) 276-80-81, 261-80-80",mail@akoc.ru,,Administrator,Партнер,Новый,Да,http://akoc.ru/,,,"ООО ""Акос""","420038 г. Казань, ул. Зорге, 88",,,,,,,,,,
Аргумент,"234789 г.Казань ул. Привокзальная, д.8",456-98-45,office@argument.ru,Джидаев Семен,Иванов Иван,Клиент,Важный,Да,www.argument.ru,,,"ООО ""Аргумент""","234789 г.Казань ул. Привокзальная, д.8",32975436543,576547456745,5754745745745,Крутос,436456754745,,6576565865765,Иванов,Иванова,578433
Астра принт,,,astraprint@mail.ru,,Иванов Иван,Партнер,Желание,Да,,продажа бумаги,,"ООО ""Астра принт""",,,,,,,,,,,
Ауди,"420111 г. Казань, ул. Пушкина, 18",(843) 236-86-71,audi.kazan@mail.ru,,Иванов Иван,Обзвон,Отправить КП,Нет,,,,"ООО ""Ауди""","420111 г. Казань, ул. Пушкина, 18",,,,,,,,,,
Афродита,"420022 г. Казань, ул. Татарстан, 3/2",(843) 292-41-30,info@stonegrillkazan.ru,,Administrator,Обзвон,Новый,Да,http://www.stonegrillkazan.ru,,,"ЗАО ""Афродита""","420022 г. Казань, ул. Татарстан, 3/2",,,,,,,,,,
